image,n_span,n_nonspan,mean_iou_span,mean_iou_nonspan,gap
PMC6098012_table_0,7,10,0.9222618852342878,0.2554586499929428,-0.6668032352413449
PMC6100161_table_1,4,76,0.9206188917160034,0.050030743874805536,-0.8705881478411979
PMC6112758_table_4,4,42,0.9192365109920502,0.07731011979991481,-0.8419263911921353
PMC6123397_table_0,12,144,0.6550753700236479,0.03455413180118841,-0.6205212382224595
PMC6125819_table_1,4,285,0.8977796286344528,0.05155581901372786,-0.846223809620725
PMC6132986_table_2,4,34,0.9555922001600266,0.07883709795115625,-0.8767551022088703
PMC6136300_table_1,4,28,0.9324039965867996,0.11695221678486892,-0.8154517798019307
PMC6151016_table_3,3,160,0.8590723673502604,0.03467613884131424,-0.8243962285089461
PMC6162424_table_0,2,17,0.9231090545654297,0.2535855726284139,-0.6695234819370157
PMC6163768_table_0,3,161,0.8992306192715963,0.01899109394665553,-0.8802395253249408
PMC6169061_table_2,3,29,0.9390276670455933,0.08188123217430608,-0.8571464348712872
PMC6171883_table_0,16,424,0.47793211440875893,0.024251541610420594,-0.45368057279833834
PMC6181438_table_0,3,96,0.853589673837026,0.06245690865519767,-0.7911327651818283
PMC6198407_table_0,9,65,0.915781213177575,0.18823279013606506,-0.7275484230415099
PMC6206384_table_3,14,92,0.09129029086657933,0.04115708123730576,-0.05013320962927357
PMC6206713_table_2,4,41,0.8974916040897369,0.05255555384224508,-0.8449360502474919
PMC6211744_table_5,3,82,0.9335360924402872,0.02971059735864401,-0.9038254950816432
