image,has_span,n_gt_rows,n_gt_cols,n_gt_spans,row_mean_iou,row_recall,row_precision,row_f1,col_mean_iou,col_recall,col_precision,col_f1,span_mean_iou,span_recall,span_precision,span_f1,cell_mean_iou,cell_recall,cell_precision,cell_f1,span_cell_mean_iou,span_cell_recall,span_cell_f1,nonspan_cell_mean_iou,nonspan_cell_recall,nonspan_cell_f1,n_gt_cells,n_pred_cells
PMC2977766_table_1,False,26,5,0,0.9511123551772191,1.0,1.0,1.0,0.9586818933486938,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9404312771100264,1.0,1.0,1.0,0.0,0.0,0.0,0.9404312771100264,1.0,1.0,130,130
PMC2979962_table_3,False,21,7,0,0.9404298748288836,1.0,1.0,1.0,0.9771860497338432,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9241633694999072,1.0,1.0,1.0,0.0,0.0,0.0,0.9241633694999072,1.0,1.0,147,147
PMC2983641_table_3,False,18,5,0,0.9326572683122423,1.0,1.0,1.0,0.9666889786720276,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9244529445966084,1.0,1.0,1.0,0.0,0.0,0.0,0.9244529445966084,1.0,1.0,90,90
PMC2988804_table_0,True,21,7,11,0.9480783825828916,1.0,1.0,1.0,0.9527990562575204,1.0,1.0,1.0,0.8725021915002302,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9086709094770027,0.9848484848484849,0.9848484848484849,0.9848484848484849,0.8744524365121668,0.9090909090909091,0.9090909090909091,0.9117816797465332,0.9917355371900827,0.9917355371900827,132,132
PMC2991316_table_0,False,13,3,0,0.9413133951333853,1.0,1.0,1.0,0.9826117555300394,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9315063708867782,1.0,1.0,1.0,0.0,0.0,0.0,0.9315063708867782,1.0,1.0,39,39
PMC3000372_table_0,True,12,6,7,0.9670506517092387,1.0,1.0,1.0,0.9377190967400869,1.0,1.0,1.0,0.8682180728231158,0.8571428571428571,0.75,0.7999999999999999,0.8748832960923513,0.9333333333333333,0.9655172413793104,0.9491525423728815,0.8682180728231158,0.8571428571428571,0.923076923076923,0.8757636085996088,0.9433962264150944,0.9615384615384616,60,58
PMC3006781_table_0,False,8,2,0,0.6986632794141769,0.875,1.0,0.9333333333333333,0.9714803397655487,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.703979380428791,0.875,1.0,0.9333333333333333,0.0,0.0,0.0,0.703979380428791,0.875,0.9333333333333333,16,14
PMC3008143_table_1,False,6,2,0,0.9633364379405975,1.0,1.0,1.0,0.9812045097351074,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9606328507264456,1.0,1.0,1.0,0.0,0.0,0.0,0.9606328507264456,1.0,1.0,12,12
PMC3009675_table_0,False,18,2,0,0.9476041661368476,1.0,1.0,1.0,0.9646012485027313,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.928049181898435,1.0,1.0,1.0,0.0,0.0,0.0,0.928049181898435,1.0,1.0,36,36
PMC3017779_table_1,True,10,4,3,0.8831433117389679,1.0,1.0,1.0,0.9720266908407211,1.0,1.0,1.0,0.9473033746083578,1.0,1.0,1.0,0.8788585259633905,1.0,1.0,1.0,0.9473033746083578,1.0,1.0,0.8722348309332325,1.0,1.0,34,34
PMC3019106_table_3,True,46,12,16,0.8374908631262572,0.9347826086956522,0.7962962962962963,0.8599999999999999,0.9304913530747095,1.0,0.9230769230769231,0.9600000000000001,0.6614244692027569,0.8125,1.0,0.896551724137931,0.7829018990948515,0.9075471698113208,0.7052785923753666,0.7937293729372936,0.746639546006918,0.8125,0.7222222222222223,0.7840306882960323,0.9105058365758755,0.7965957446808511,530,682
PMC3020960_table_0,True,28,8,7,0.934205949306488,1.0,1.0,1.0,0.9106275364756584,1.0,1.0,1.0,0.8897827693394252,1.0,1.0,1.0,0.8587131313464609,1.0,1.0,1.0,0.8897827693394252,1.0,1.0,0.8576774767466954,1.0,1.0,217,217
PMC3021519_table_0,False,16,10,0,0.9564552269876003,1.0,1.0,1.0,0.9464220941066742,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9152829077094793,1.0,1.0,1.0,0.0,0.0,0.0,0.9152829077094793,1.0,1.0,160,160
PMC3033815_table_1,True,8,5,3,0.8827328309416771,1.0,1.0,1.0,0.964443051815033,1.0,1.0,1.0,0.3057722846666972,0.3333333333333333,1.0,0.5,0.8864232869818807,0.9375,0.7692307692307693,0.8450704225352113,0.46475983659426373,0.3333333333333333,0.3333333333333333,0.9300436439185307,1.0,0.90625,32,39
PMC3034664_table_2,True,16,11,2,0.925359483808279,1.0,1.0,1.0,0.9452474821697582,1.0,1.0,1.0,0.9230360090732574,1.0,1.0,1.0,0.8874775585604877,1.0,1.0,1.0,0.9230360090732574,1.0,1.0,0.8870385653442807,1.0,1.0,164,164
PMC3034665_table_0,False,17,4,0,0.9438455280135659,1.0,1.0,1.0,0.9836607277393341,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9383471713346594,1.0,1.0,1.0,0.0,0.0,0.0,0.9383471713346594,1.0,1.0,68,68
PMC3035247_table_0,True,14,3,2,0.9226554419313159,1.0,0.9333333333333333,0.9655172413793104,0.9215183258056641,1.0,1.0,1.0,0.8927765488624573,1.0,0.6666666666666666,0.8,0.9108151445786158,1.0,0.972972972972973,0.9863013698630138,0.8927765488624573,1.0,1.0,0.9118762384442722,1.0,1.0,36,37
PMC3042417_table_2,True,7,5,3,0.9066584961754935,1.0,1.0,1.0,0.9596798181533813,1.0,1.0,1.0,0.935849924882253,1.0,1.0,1.0,0.8867504168301821,1.0,1.0,1.0,0.935849924882253,1.0,1.0,0.8816711573765196,1.0,1.0,32,32
PMC3042927_table_5,False,8,5,0,0.9398995637893677,1.0,1.0,1.0,0.9471022725105286,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9264715924859047,1.0,1.0,1.0,0.0,0.0,0.0,0.9264715924859047,1.0,1.0,40,40
PMC3044294_table_1,True,7,6,6,0.9335354396275112,1.0,1.0,1.0,0.9566844602425894,1.0,1.0,1.0,0.9055936435858408,1.0,1.0,1.0,0.9274031933810976,1.0,1.0,1.0,0.9055936435858408,1.0,1.0,0.931765103340149,1.0,1.0,36,36
