model,detected,iou,max_norm,max_snap,grid_err
v1.0,1,0.9844262599945068,0.00803974879057775,0.6289526428222629,0.0
v1.0,1,0.9641587138175964,0.01747020841129422,3.013534082031242,0.0
v1.0,1,0.9655724167823792,0.010941591230863145,1.85505664062498,0.0
v1.0,1,0.9854668378829956,0.0064217676285133075,0.82044970703123,0.0
v1.0,1,0.9852595329284668,0.010542777858805365,0.5069009765625054,0.0
v1.0,1,0.9691263437271118,0.013750603100002963,1.1689387695312519,0.0
v1.0,1,0.7952855229377747,0.18655015165256159,4.814141406250002,1.0
v1.0,0,0.0,,,
v1.0,1,0.9149564504623413,0.07267764866627745,3.086445312500004,0.0
v1.0,1,0.8754182457923889,0.05844304210109604,13.658628540039075,1.0
v1.0,1,0.8901268839836121,0.07897105401474995,3.213426953124994,0.0
v1.0,1,0.9358757734298706,0.01905403826295234,3.1987217529296856,0.0
v1.0,1,0.948817253112793,0.022717136123104015,1.555483154296894,0.0
v1.0,1,0.9086754322052002,0.055135008448060324,2.243509655761713,0.0
v1.0,1,0.9776400327682495,0.008472766811997183,0.592084570312494,0.0
v1.0,1,0.9820442199707031,0.008513335962734537,0.49787946777342995,0.0
v1.0,1,0.9397293329238892,0.03232770085340075,2.2590888305664123,0.0
v1.0,1,0.9532305598258972,0.025899613967903773,1.3919297851562646,0.0
v1.0,1,0.9476659297943115,0.02929383253690346,1.745173022460932,0.0
v1.0,0,0.00845310278236866,3.65418281740218,7.276606127929682,1.0
v1.0,1,0.9691759347915649,0.012824833187763911,0.9470882812499894,0.0
v1.0,1,0.9283384680747986,0.04073187512288687,1.1380933959960942,0.0
v1.0,1,0.965488851070404,0.028086655435402327,0.6343764343261711,0.0
v1.0,1,0.967422604560852,0.009992185585739008,0.2741182373046911,0.0
v1.0,1,0.8920379877090454,0.04400830898302124,1.3864905761718802,0.0
v1.0,1,0.9056738018989563,0.04834475112458684,1.521370642089849,0.0
v1.0,1,0.9497895240783691,0.026282961864367686,0.7363671142578028,0.0
v1.0,0,0.3610196113586426,1.5518284134373006,5.094134082031246,1.0
v1.0,1,0.9813448190689087,0.012151364924918114,0.5012182128906488,0.0
v1.0,1,0.9599721431732178,0.015486719653227905,1.1144610107421897,0.0
v1.0,1,0.9527324438095093,0.02026729419617565,0.6746697753906119,0.0
v1.0,1,0.9614966511726379,0.017214586407383277,0.563010339355472,0.0
v1.0,1,0.9764692783355713,0.009417875065397732,0.599326257324222,0.0
v1.0,1,0.9603940844535828,0.022515984106810313,1.330461816406256,0.0
v1.0,1,0.9842109084129333,0.0068379840024862856,0.3914773193359409,0.0
v1.0,1,0.981050431728363,0.013716078969790966,0.774472912597659,0.0
v1.0,1,0.9921732544898987,0.0033477444548444734,0.44702915039061963,0.0
v1.0,1,0.9423564076423645,0.026313730861660518,1.4158155517578166,0.0
v1.0,1,0.7800169587135315,0.1732701445598005,16.02795620117186,0.0
v1.0,1,0.9187742471694946,0.06153236448300591,1.071993066406236,0.0
v1.0,1,0.9471368193626404,0.036557088782997814,1.8496721679687766,0.0
v1.0,1,0.8511492013931274,0.07857114600091093,2.3492222656250306,0.0
v1.0,1,0.9586118459701538,0.027064161962634444,1.0999849731445295,0.0
v1.0,1,0.9459489583969116,0.03141036410807335,1.1766416625976603,0.0
v1.0,1,0.9491744041442871,0.01783985917333193,1.1216633056640717,0.0
v1.0,1,0.850210428237915,0.05893846747996794,2.752795800781257,0.0
v1.0,1,0.8660644292831421,0.10293118908191341,6.5663305175781375,0.0
v1.0,1,0.821208119392395,0.06989993793765233,3.7239702636719016,0.0
v1.0,1,0.9048380851745605,0.03954723354885466,2.0424176757812234,0.0
v1.0,1,0.9490863680839539,0.01949508052368535,0.7451598632812875,0.0
v1.0,1,0.9423546195030212,0.023918708984182194,1.1649963867187125,0.0
v1.0,1,0.9395147562026978,0.041053140953869104,1.5378629760742228,0.0
