image,detected,gt_span_w,gt_span_h,iou,offset_x1,offset_y1,offset_x2,offset_y2,norm_x1,norm_y1,norm_x2,norm_y2,snap_x1,snap_x2,snap_y1,snap_y2,max_offset,max_norm,max_snap,grid_err_col,grid_err_row,grid_err_any
PMC1574349_table_2,1,151.4353,59.93370000000001,0.9748081564903259,0.024922033691403556,0.6364773925781222,0.5266413818359297,0.6766989990234435,0.00016457215518048666,0.010619691301857253,0.0034776659196100886,0.0112907929766299,0.024922033691403556,0.5266413818359297,0.6364773925781222,0.6766989990234435,0.6766989990234435,0.0112907929766299,0.6766989990234435,0.0,0.0,0.0
PMC1574349_table_2,1,172.49559999999997,59.93370000000001,0.9775617718696594,0.9489131103515547,0.45271198120116907,0.8297832031249754,0.29181130371094355,0.005501085884808394,0.007553546355408877,0.004810460111011386,0.004868901865076635,0.9489131103515547,0.8298832031250072,0.45271198120116907,0.29181130371094355,0.9489131103515547,0.007553546355408877,0.9489131103515547,0.0,0.0,0.0
PMC1574349_table_2,1,169.55090000000007,59.93370000000001,0.9793674945831299,0.08806347656252456,0.6123723205566378,0.7814261718749549,0.33441384277344355,0.0005193925633100415,0.01021749567533187,0.004608799905367383,0.005579729647484529,0.08796347656249281,0.78132617187498,0.6123723205566378,0.33441384277344355,0.7814261718749549,0.01021749567533187,0.78132617187498,0.0,0.0,0.0
PMC1574349_table_2,1,127.77629999999999,31.734299999999998,0.9171778559684753,1.787407617187455,0.8012990173339816,1.280089550781213,1.188320422363276,0.013988569219702363,0.02525025027600992,0.010018207999302007,0.03744593144840996,1.78730761718748,1.280089550781213,0.8012990173339816,1.188320422363276,1.787407617187455,0.03744593144840996,1.78730761718748,0.0,0.0,0.0
PMC1716159_table_2,1,77.81809999999999,48.0804,0.935936450958252,0.6717332397460964,1.3208182250976535,1.2937501708984342,0.6829641357421821,0.008632095100575528,0.02747103237696969,0.01662531173208334,0.014204626744831202,0.6717332397460964,1.2937501708984342,1.3208182250976535,0.6829641357421821,1.3208182250976535,0.02747103237696969,1.3208182250976535,0.0,0.0,0.0
PMC1716159_table_2,1,85.01,48.0804,0.9330587983131409,0.7741731445312467,1.2460310852050753,1.3443232910156269,0.9171560302734321,0.009106847953549544,0.025915572358072632,0.015813707693396385,0.01907546589199408,0.7741731445312467,1.3443232910156269,1.2460310852050753,0.9171560302734321,1.3443232910156269,0.025915572358072632,1.3443232910156269,0.0,0.0,0.0
PMC1716159_table_2,1,371.1238000000001,19.9743,0.7922064661979675,0.26863752441406064,1.1395972167968722,70.76701464843745,0.05241192626952795,0.0007238488192189791,0.05705317416865033,0.19068304066847083,0.0026239681125009616,0.26863752441406064,1.1408146484375266,1.1395972167968722,0.05241192626952795,70.76701464843745,0.19068304066847083,1.1408146484375266,1.0,0.0,1.0
PMC1716159_table_2,0,69.62619999999993,48.0804,0.0,,,,,,,,,,,,,,,,,,
PMC2222642_table_2,1,178.7044,42.4676,0.880020022392273,0.5949624572753933,0.4859872985839857,2.936046874999988,4.3714031982421915,0.0033293106228799814,0.011443719413952889,0.01642962834155168,0.10293501865521461,0.5949624572753933,2.936046874999988,0.4859872985839857,4.3714031982421915,4.3714031982421915,0.10293501865521461,4.3714031982421915,0.0,0.0,0.0
PMC2222642_table_2,0,440.31540000000007,12.164500000000004,0.11981630325317383,42.37807055664064,0.13091409912109242,319.9761172851563,32.691722741699216,0.09624480669229518,0.01076197945834949,0.726697538367171,2.6874695007356824,2.9860705566406125,0.0606827148437219,0.13091409912109242,2.3886227416992227,319.9761172851563,2.6874695007356824,2.9860705566406125,1.0,1.0,1.0
PMC2429899_table_2,1,78.76570000000001,40.69120000000001,0.8681771755218506,0.40164627685546606,0.26195346069336267,0.15787315673827607,5.57552564697265,0.005099253569199106,0.006437594877844906,0.0020043389030793357,0.13702042817544455,0.40164627685546606,0.15797315673827939,0.26195346069336267,5.57552564697265,5.57552564697265,0.13702042817544455,5.57552564697265,0.0,0.0,0.0
PMC2429899_table_2,1,198.24669999999998,20.067500000000003,0.8386202454566956,11.195573803710943,0.06654156494140295,20.04281396484373,0.24187161254882739,0.056472939038636934,0.003315887128013103,0.10110036618437399,0.012052902082911541,11.19547380371094,20.04281396484373,0.06654156494140295,0.24187161254882739,20.04281396484373,0.10110036618437399,20.04281396484373,0.0,0.0,0.0
PMC2429899_table_2,1,194.34470000000005,20.067500000000003,0.7074344754219055,21.97884912109373,0.0337620849609408,40.46096977539065,0.08939434814453051,0.11309209420732197,0.0016824260600942216,0.20819178385307469,0.004454682852599003,21.97884912109373,20.564330224609364,0.0337620849609408,0.08939434814453051,40.46096977539065,0.20819178385307469,21.97884912109373,1.0,0.0,1.0
PMC2429899_table_2,1,132.39669999999995,40.69120000000001,0.8171629309654236,1.2100507324218484,0.22741900634765955,0.9566917968750204,8.096742993164057,0.009139583784352999,0.005588898984243755,0.007225948961530165,0.19898019702451772,1.2100507324218484,0.9566917968750204,0.22741900634765955,4.301757006835942,8.096742993164057,0.19898019702451772,4.301757006835942,0.0,1.0,1.0
PMC2657832_table_0,1,55.3033,69.8809,0.9485324621200562,0.050227313232419135,1.5317183227539033,1.1187975463867161,0.7502387329101623,0.000908215481398382,0.021918983910537836,0.02023021314074777,0.010735962658039068,0.050227313232419135,1.1187975463867161,1.5317183227539033,0.7502387329101623,1.5317183227539033,0.021918983910537836,1.5317183227539033,0.0,0.0,0.0
PMC2657832_table_0,1,58.482299999999995,69.8809,0.9544743299484253,0.11042761230469011,1.578932830810544,0.7259525878906175,0.740282373046881,0.0018882228008250382,0.022594626440279732,0.01241320173609139,0.010593486532756177,0.11042761230469011,0.7259525878906175,1.578932830810544,0.740282373046881,1.578932830810544,0.022594626440279732,1.578932830810544,0.0,0.0,0.0
PMC2657832_table_0,1,68.71710000000002,69.8809,0.9500893354415894,0.23614458007813255,1.5625715942382783,1.1436173339843663,0.6633246704101623,0.003436474765060407,0.022360496133253555,0.01664239809282356,0.009492217049439294,0.23614458007813255,1.1437173339843696,1.5625715942382783,0.6633246704101623,1.5625715942382783,0.022360496133253555,1.5625715942382783,0.0,0.0,0.0
PMC2657832_table_0,1,285.9636,13.822700000000005,0.87200528383255,3.5031663574218896,1.4296980590820283,0.8203274414062207,0.3374925109863298,0.012250392558430129,0.10343117184645748,0.0028686428671558925,0.02441581680759401,3.5031663574218896,0.8203274414062207,1.4296980590820283,0.3374925109863298,3.5031663574218896,0.10343117184645748,3.5031663574218896,0.0,0.0,0.0
PMC2657832_table_0,1,147.77069999999998,27.9411,0.9227073192596436,1.2136246582031163,0.7360673400878923,1.5620958007812646,0.9947218139648442,0.008212891041343895,0.026343534795977695,0.010571079387058901,0.03560066761741106,1.2137246582031196,1.5620958007812646,0.7360673400878923,0.9947218139648442,1.5620958007812646,0.03560066761741106,1.5620958007812646,0.0,0.0,0.0
PMC2657832_table_0,1,38.44749999999999,56.05819999999999,0.8930675387382507,1.7651292480468896,1.7317338439941423,0.8353599609375237,0.9453986450195373,0.04591011764215853,0.030891713326402608,0.021727289445023057,0.01686459153200669,1.7651292480468896,0.8353599609375237,1.7317338439941423,0.9453986450195373,1.7651292480468896,0.04591011764215853,1.7651292480468896,0.0,0.0,0.0
PMC2657832_table_0,1,73.84800000000001,56.05819999999999,0.8902717232704163,5.306394189453101,0.07761244506836107,2.6932010253906356,0.6774009033203185,0.07185562492488762,0.0013844976304690675,0.036469518814194496,0.012083886091960117,5.306394189453101,2.6932010253906356,0.07761244506836107,0.6774009033203185,5.306394189453101,0.07185562492488762,5.306394189453101,0.0,0.0,0.0
PMC2657832_table_0,1,173.66809999999998,27.9411,0.8630132079124451,2.2672366699218856,1.4554152038574202,0.4076999023437793,2.002923413085938,0.013054997837379956,0.052088686696566,0.002347580830007234,0.07168377097129097,2.2672366699218856,0.4076999023437793,1.4554152038574202,2.002923413085938,2.2672366699218856,0.07168377097129097,2.2672366699218856,0.0,0.0,0.0
PMC2881019_table_0,1,303.1069,22.586399999999998,0.9566488265991211,1.846595019531236,0.2780064941406266,0.5249061523437604,0.5454062499999992,0.006092223633085344,0.012308579239747222,0.0017317525676378875,0.02414755118124178,1.846595019531236,0.5249061523437604,0.2780064941406266,0.5454062499999992,1.846595019531236,0.02414755118124178,1.846595019531236,0.0,0.0,0.0
PMC2883601_table_0,1,21.936500000000002,32.681400000000004,0.8584456443786621,0.8502322448730482,0.4103460083007846,0.586694433593749,2.666013085937493,0.0387587921898684,0.012555949509530944,0.026745124955838393,0.081575853113315,0.8502322448730482,0.586694433593749,0.4104460083007808,2.6661130859374964,2.666013085937493,0.081575853113315,2.6661130859374964,0.0,0.0,0.0
PMC2883601_table_0,1,21.936500000000002,31.505199999999988,0.776581883430481,0.28987991943359503,2.8847707153320243,0.39745493164062395,4.32240366210938,0.013214501831814328,0.09156490723220374,0.018118429632832216,0.1371965155628081,0.28987991943359503,0.39745493164062395,2.8848707153320277,4.32240366210938,4.32240366210938,0.1371965155628081,4.32240366210938,0.0,0.0,0.0
PMC2883601_table_0,1,21.936500000000002,31.469200000000015,0.7354249954223633,1.0838328613281263,2.760306604003901,1.5238358520507802,3.4383002441406347,0.04940773876088374,0.08771454641376011,0.0694657694732879,0.10925921994015206,1.0838328613281263,1.5238358520507802,2.760306604003901,3.4383002441406347,3.4383002441406347,0.10925921994015206,3.4383002441406347,0.0,0.0,0.0
PMC2883601_table_0,1,21.936500000000002,28.016899999999993,0.7813859581947327,0.6264849914550794,3.1335533935546778,0.5668961547851552,2.2819213378906227,0.02855902224398055,0.11184511468273359,0.025842598171319724,0.08144803093456533,0.6264849914550794,0.5668961547851552,3.1335533935546778,2.2819213378906227,3.1335533935546778,0.11184511468273359,3.1335533935546778,0.0,0.0,0.0
PMC3000372_table_0,0,137.9305,13.984300000000005,0.44940513372421265,0.8727847106933595,0.6940435546874966,1.5475969970703147,16.083474377441405,0.0063277136724173375,0.049630196340717546,0.011220121706731395,1.1501093638896047,0.8727847106933595,1.5475969970703147,0.6940435546874966,0.5236256225585976,16.083474377441405,1.1501093638896047,1.5475969970703147,0.0,1.0,1.0
PMC3000372_table_0,1,156.77489999999997,13.984300000000005,0.9031999111175537,2.0667676269531228,0.5159963745117153,2.946439160156274,0.47768666381836056,0.013183026281331533,0.03689826265967658,0.01879407456267728,0.03415878262182307,2.0667676269531228,2.946439160156274,0.5159963745117153,0.47768666381836056,2.946439160156274,0.03689826265967658,2.946439160156274,0.0,0.0,0.0
